licitacao,unidade,modalidade,item_lote,item_id,codigo_item_siga,descricao,quantidade,exclusivo_me_epp
PD0081/24,UERJ - ADMINISTRACAO CENTRAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 2,128001,7110.004.0560,"CADEIRA ,TIPO: DIRETOR, BASE: GIRATORIA - RODIZIO, AJUSTE ALTURA ASSENTO: REGULAVEL POR SISTEMA PNEUMATICO (A GAS), RECLINACAO: AJUSTAVEL, MATERIAL ESTRUTURA: AÇO, BRACO: REGULAVEL, ENCOSTO: ESPALDAR ALTO, REVESTIMENTO ASSENTO-ENCOSTO: COURO SINTETICO, COR: PRETO, PORTA LIVRO: SEM, PRANCHETA: SEM - ID:128001 - Código do Item:7110.004.0560",6,S
PD0081/24,UERJ - ADMINISTRACAO CENTRAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 3,189871,7115.014.0018,"CARTEIRA ESCOLAR,MATERIAL ASSENTO-ENCOSTO: COURO SINTETICO AZUL, MATERIAL PRANCHA: MDF ESCAMOTAVEL, ACABAMENTO: PINTURA ELETROSTATICA EPOXI, PONTEIRAS PLASTICAS, ESTRUTURA: ACO, PORTA LIVRO: COM, FORMA FORNECIMENTO: UNIDADE - ID:189871 - Código do Item:7115.014.0018",75,S
PD0093/26 R1,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1,189187,7530.017.0049,"ETIQUETA AUTO ADESIVA TERMICA,MATERIAL: PAPEL COUCHE, GRAMATURA: 20 G, FORMATO: RETANGULAR COM 3 CARREIRAS, DIMENSAO (L X C): 22 X 33 MM, QUANTIDADE FOLHA: 6.000 ETIQUETAS POR ROLO, ROLO INTEGRALMENTE NA COR VERMELHA, FORMA FORNECIMENTO: ROLO - ID:189187 - Código do Item:7530.017.0049",72,N
PD0096/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1,185492,6820.006.1018,"ANTICORPO,CLASSIFICACAO: CONJUGADO, TIPO: MONOCLONAL CAMUNDONGO, ANTI-CD 11B HUMANO, TECNICA: CITOMETRIA DE FLUXO, MARCACAO: PE-Cy7, FORMA FORNECIMENTO: TESTE - ID:185492 - Código do Item:6820.006.1018",50,N
PD0096/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 2,199230,6820.006.1132,"ANTICORPO,CLASSIFICACAO: CONJUGADO, TIPO: MONOCLONAL CAMUNDONGO ANTI-CD7 HUMANO, TECNICA: CITOMETRIA FLUXO, MARCACAO: PE-CY7, FORMA FORNECIMENTO: TESTE - ID:199230 - Código do Item:6820.006.1132",100,N
PD0096/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 3,143747,6820.006.0630,"ANTICORPO,CLASSIFICACAO: CONJUGADO, TIPO: MONOCLONAL ANTI-CD2PE-Cy7, TECNICA: CITOMETRIA DE FLUXO, MARCACAO: PE-Cy7, FORMA FORNECIMENTO: TESTE - ID:143747 - Código do Item:6820.006.0630",100,N
PD0096/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 4,185802,6820.006.1034,"ANTICORPO,CLASSIFICACAO: CONJUGADO, TIPO: MONOCLONAL CAMUNDONGO, ANTI-CD 28 HUMANO, TECNICA: CITOMETRIA DE FLUXO, MARCACAO: PE-Cy7, FORMA FORNECIMENTO: TESTE - ID:185802 - Código do Item:6820.006.1034",50,N
PD0099/26,UERJ - ADMINISTRACAO CENTRAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1,190083,7010.050.0120,"NOTEBOOK,PROCESSADOR: 13ª GERACAO CACHE DE 12 MB, ATE 5.2 GHZ, MEMORIA RAM: 16 GB DDR5, TELA: LCD / LED 15 ``, SISTEMA OPERACIONAL: MICROSOFT WINDOWS 11 PROFESSIONAL 64 BITS EM PORTUGUES BR, DISCO OTICO: N/A, DISCO RIGIDO - HD: SSD 512GB PCIe NVMe M.2, INTERFACE COMUNICACAO: WLAN 802.11  A/B/G/N; BLUETOOTH 4.0  1 CONECTOR PADRAO RJ-45 10/100/1000, INTERFACE VIDEO: DUAS SAIDAS DE VIDEO SENDO UMA HDMI, TECLADO: PADRAO ABNT-2 RETROILUMINADO INTEGRADO AO CHASSI, DISPOSITIVO APONTADOR: TOUCH PAD  COM SUPORTE A FUNCAO MULTI-TOQUES, ALIMENTACAO: FONTE EXTERNA, BIVOLT, CABO DE ALIMENTACAO PADRAO NBR-14136, BATERIA INTERNA DE 50W, WEBCAM: CAMERA HD 720p, ACESSORIOS: N/A, FORMA FORNECIMENTO: UNIDADE - ID:190083 - Código do Item:7010.050.0120",1,N
PD0099/26,UERJ - ADMINISTRACAO CENTRAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 2,192681,7490.002.0083,"MAQUINA IMPRESSORA / COPIADORA,TECNOLOGIA: IMPRESSORA MULTIFUNCIONAL TONER, IMPRESSAO: LASER MONOGROMATICA, VELOCIDADE COPIA: 34 PPM A4, 36PPM CARTA, RESOLUCAO: 2400X600 DPI, TAMANHO MAXIMO PAPEL: CARTA, OFICIO, EXECUTIVO, A4, A5, A6, B5, B6, ENVELOPE, TENSAO:  127V, 50/60HZ, TIPO ALIMENTACAO PAPEL: ALIMENTACAO MANUAL 60-230G/M², BANDEJA DE PAPEL 60-163G/M², AMPLIACAO / REDUCAO: N/A, FORMA FORNECIMENTO: UNIDADE - ID:192681 - Código do Item:7490.002.0083",1,N
PD0099/26,UERJ - ADMINISTRACAO CENTRAL,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 3,179018,7010.049.0206,"COMPUTADOR,PROCESSADOR: 4 NUCLEOS 3.3 GHZ, PLACA PRINCIPAL: EMBUTIDA, MEMORIA RAM: 8GB MEMORIA, DISCO RIGIDO - HD: 500 GB, UNIDADE MIDIA OTICA: N/A, INTERFACE COMUNICACAO: BLUETOOTH, WI FI, RJ 45, INTERFACE VIDEO: INTEGRADO A PLACA PRINCIPAL, MONITOR:  24``, SISTEMA OPERACIONAL: WINDOWS 10, GABINETE: ALL IN ONE, MOUSE: MOUSE SEM FIO, TECLADO: TECLADO SEM FIO, ACESSORIOS: CABOS E CONECTORES, FORMA FORNECIMENTO: UNIDADE - ID:179018 - Código do Item:7010.049.0206",1,N
PD01,SUDERJ - SUPERINTENDÊNCIA DE DESPORTOS DO ESTADO DO RJ,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 1,71382,8955.002.0022,"CAFE,TIPO: PO (TORRADO MOIDO), EMPACOTAMENTO: A VACUO, FORNECIMENTO: PACOTE 500 GRAMAS - ID:71382 - Código do Item:8955.002.0022",50,S
PD01,SUDERJ - SUPERINTENDÊNCIA DE DESPORTOS DO ESTADO DO RJ,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 2,135202,8925.002.0023,"ADOCANTE DIETETICO,APRESENTACAO: LIQUIDO, TIPO: NAO CALORICO C/ ASPARTAME, FORMA FORNECIMENTO: FRASCO 100 ML - ID:135202 - Código do Item:8925.002.0023",20,S
PD01,SUDERJ - SUPERINTENDÊNCIA DE DESPORTOS DO ESTADO DO RJ,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,Item: 3,135525,8925.001.0014,"ACUCAR,TIPO: REFINADO, FORNECIMENTO: PACOTE DE 1 KG - ID:135525 - Código do Item:8925.001.0014",15,S
