licitacao,unidade,objeto,modalidade,criterio_julgamento,data_publicacao,data_limite_proposta,data_abertura_sessao,status
PD 05//25,SEEDUC - SECRETARIA DE ESTADO DE EDUCAÇÃO,CONTAINERES METÁLICOS PARA ARMAZENAMENTO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,13/11/2025 17:00:00,18/11/2025 12:00:00,18/11/2025 13:00:00,CLASSIFICAÇÃO DE LANCES
PD 06/26,FUNPERJ - FUNDO ESPECIAL DA PROCURADORIA GERAL DO ERJ,FUNPERJ - Aquisição de garrafas térmicas,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,26/08/2026 09:00:00,31/08/2026 08:59:00,31/08/2026 09:00:00,AGUARDANDO HOMOLOGAÇÃO
PD 10/24,FUNPERJ - FUNDO ESPECIAL DA PROCURADORIA GERAL DO ERJ,Aquisição e instalação de Letreiro,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,02/12/2024 08:00:00,09/12/2024 12:59:00,09/12/2024 13:00:00,AGUARDANDO HOMOLOGAÇÃO
PD 153/25,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE MEDICAMENTOS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,11/03/2026 12:16:00,17/03/2026 09:00:00,17/03/2026 09:05:00,AGUARDANDO HOMOLOGAÇÃO
PD 2483/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE MARCADORES INSTRUMENTAIS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,10/08/2026 11:57:00,13/08/2026 09:00:00,13/08/2026 09:05:00,CLASSIFICAÇÃO DE LANCES
PD 3942/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,F. CONTÍNUO DE TESTE IMUNOCROMATOGRÁFICO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,06/08/2026 15:47:00,11/08/2026 09:00:00,11/08/2026 09:05:00,EM NEGOCIAÇÃO/HABILITAÇÃO
PD 4258/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE FIO CIRÚRGICO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,25/08/2026 13:33:00,02/09/2026 10:00:00,02/09/2026 10:05:00,CLASSIFICAÇÃO DE LANCES
PD 4333/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE MEDICAMENTOS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,25/08/2026 13:37:00,03/09/2026 10:00:00,03/09/2026 10:05:00,CLASSIFICAÇÃO DE LANCES
PD 4341/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE MEDICAMENTOS E SANEANTE,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,07/08/2026 11:27:00,13/08/2026 14:00:00,13/08/2026 14:05:00,AGUARDANDO HOMOLOGAÇÃO
PD 4422/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE MEDICAMENTOS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,31/08/2026 10:28:00,04/09/2026 10:00:00,04/09/2026 10:05:00,CLASSIFICAÇÃO DE LANCES
PD 720/26,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,AQUISIÇÃO DE MEDICAMENTOS,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,11/03/2026 14:48:00,17/03/2026 09:00:00,17/03/2026 09:05:00,AGUARDANDO HOMOLOGAÇÃO
PD MADEIRA DOC I,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,Aquisição de madeira,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,26/03/2025 10:00:00,31/03/2025 09:00:00,31/03/2025 10:00:00,AGUARDANDO ADJUDICAÇÃO
PD MADEIRA DOC II,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,Aquisição de madeira,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,26/03/2025 10:00:00,31/03/2025 09:00:00,31/03/2025 10:00:00,AGUARDANDO ADJUDICAÇÃO
PD MADEIRA DOC III,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,Aquisição de madeira,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,25/03/2025 10:10:00,28/03/2025 09:00:00,28/03/2025 10:00:00,AGUARDANDO ADJUDICAÇÃO
PD Manutenção de Raio-X,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,Serviço de manutenção de raio-x,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,26/09/2025 08:00:00,01/10/2025 08:30:00,01/10/2025 09:00:00,HOMOLOGAÇÃO
PD Placa,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,Serviço de confecção de Placa,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,14/01/2025 08:00:00,17/01/2025 08:00:00,17/01/2025 09:00:00,AGUARDANDO ADJUDICAÇÃO
PD SEI-080001/000782/2025,FES - FUNDO ESTADUAL DE SAÚDE,Impr. e confecção de material gráfico,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,04/06/2025 16:20:00,09/06/2025 09:00:00,09/06/2025 09:05:00,CLASSIFICAÇÃO DE LANCES
PD SEI-080001/021811/2024,FES - FUNDO ESTADUAL DE SAÚDE,Emergencial de Manut. Elevadores,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,10/10/2024 10:00:00,15/10/2024 10:00:00,15/10/2024 10:05:00,AGUARDANDO ADJUDICAÇÃO
PD SEI-080001/026270/2025,FES - FUNDO ESTADUAL DE SAÚDE,Emergencial Dorzolamida 20 mg/ml,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,11/09/2025 16:40:00,17/09/2025 09:59:00,17/09/2025 10:00:00,HOMOLOGAÇÃO
PD USINA DE ARARUAMA,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,SERV DE ENGENHARIA NA USINA DE ARARUAMA,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,13/04/2026 08:00:00,16/04/2026 06:30:00,16/04/2026 07:00:00,AGUARDANDO ADJUDICAÇÃO
PD-006/26 R1,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,CBMERJ -Sedação Inalatória c/oxd Nitros,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,17/08/2026 13:00:00,24/08/2026 08:59:00,24/08/2026 09:00:00,CLASSIFICAÇÃO DE LANCES
PD0001/26,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS DE GERADOR DE RADIOFREQUENCIA,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,08/01/2026 08:00:00,13/01/2026 08:59:00,13/01/2026 09:00:00,AGUARDANDO HOMOLOGAÇÃO
PD0006/26 R1,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS EQUIPAMENTOS DE SEGURANÇA ETC,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,08/04/2026 08:00:00,13/04/2026 08:59:00,13/04/2026 09:00:00,EM NEGOCIAÇÃO/HABILITAÇÃO
PD0007/26 R1,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS DE SERVIDOR ALTO DESEMPENHO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,25/02/2026 10:15:00,02/03/2026 08:59:00,02/03/2026 09:00:00,AGUARDANDO HOMOLOGAÇÃO
PD0010/25,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS ECOBAG ETC,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,30/12/2024 12:20:00,08/01/2025 08:59:00,08/01/2025 09:00:00,CLASSIFICAÇÃO DE LANCES
PD0010/26,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS DE MOBILIÁRIO DE ESCRITÓRIO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,19/01/2026 08:00:00,23/01/2026 08:59:00,23/01/2026 09:00:00,AGUARDANDO HOMOLOGAÇÃO
PD0011/25,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS EQUIP. DE INFORMÁTICA,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,30/12/2024 12:25:00,08/01/2025 08:59:00,08/01/2025 09:00:00,PRAZO RECURSAL
PD0013/24,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,UERJ-AQUIS CATETER ETC,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,16/10/2024 08:00:00,22/10/2024 08:59:00,22/10/2024 09:00:00,AGUARDANDO HOMOLOGAÇÃO
PD0016/25,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,UERJ-AQUIS PLACA BISTURI,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,28/01/2025 08:00:00,31/01/2025 08:59:00,31/01/2025 09:00:00,AGUARDANDO HOMOLOGAÇÃO
PD0018/26,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,UERJ-AQUIS FIO GUIA,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,23/02/2026 12:30:00,26/02/2026 08:59:00,26/02/2026 09:00:00,CLASSIFICAÇÃO DE LANCES
PD0020/25,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUISIÇÃO DE MOBILIÁRIO,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,30/01/2025 08:00:00,05/02/2025 08:59:00,05/02/2025 09:00:00,CLASSIFICAÇÃO DE LANCES
PD0022/26,UERJ - ADMINISTRACAO CENTRAL,UERJ-AQUIS GELADEIRA DUPLEX FROST FREE,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,26/02/2026 09:20:00,03/03/2026 08:59:00,03/03/2026 09:00:00,AGUARDANDO HOMOLOGAÇÃO
PD0029/25 R1,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,UERJ-AQUIS BALÃO DE ANGIOPLASTIA VENOSA,PROCESSO ELETRÔNICO DE DISPENSA - LEI 14.133/21,MENOR PREÇO,19/02/2025 08:00:00,24/02/2025 08:59:00,24/02/2025 09:00:00,EM NEGOCIAÇÃO/HABILITAÇÃO
